,metanetx.chemical
2dhglcn_c,metanetx.chemical:MNXM582
nadh_c,metanetx.chemical:MNXM10
glcn_c,metanetx.chemical:MNXM341
nad_c,metanetx.chemical:MNXM8
nadph_c,metanetx.chemical:MNXM6
nadp_c,metanetx.chemical:MNXM5
2dhguln_c,metanetx.chemical:MNXM582
idon-L_c,metanetx.chemical:MNXM1565
3hcinnm_c,metanetx.chemical:MNXM1799
o2_c,metanetx.chemical:MNXM4
dhcinnm_c,metanetx.chemical:MNXM1130
h2o_c,metanetx.chemical:MNXM2
3hpppn_c,metanetx.chemical:MNXM1634
dhpppn_c,metanetx.chemical:MNXM826
phthr_c,metanetx.chemical:MNXM759
4hthr_c,metanetx.chemical:MNXM1802
pi_c,metanetx.chemical:MNXM9
5dglcn_c,metanetx.chemical:MNXM963
ru5p-D_c,metanetx.chemical:MNXM145
ara5p_c,metanetx.chemical:MNXM1184
ACP_c,metanetx.chemical:MNXM925
atp_c,metanetx.chemical:MNXM3
ttdca_c,metanetx.chemical:MNXM314
amp_c,metanetx.chemical:MNXM14
myrsACP_c,metanetx.chemical:MNXM89779
ppi_c,metanetx.chemical:MNXM11
ttdcea_c,metanetx.chemical:MNXM641
tdeACP_c,metanetx.chemical:MNXM1469
hdca_c,metanetx.chemical:MNXM108
palmACP_c,metanetx.chemical:MNXM2026
hdcea_c,metanetx.chemical:MNXM56352
hdeACP_c,metanetx.chemical:MNXM162372
ocdcea_c,metanetx.chemical:MNXM306
octeACP_c,metanetx.chemical:MNXM1000
dtdp4aaddg_c,metanetx.chemical:MNXM3015
unagamu_c,metanetx.chemical:MNXM2504
dtdp_c,metanetx.chemical:MNXM152
unagamuf_c,metanetx.chemical:MNXM3112
arbt6p_c,metanetx.chemical:MNXM2806
g6p_c,metanetx.chemical:MNXM160
hqn_c,metanetx.chemical:MNXM376
4abut_c,metanetx.chemical:MNXM192
akg_c,metanetx.chemical:MNXM20
glu-L_c,metanetx.chemical:MNXM18
sucsal_c,metanetx.chemical:MNXM172
4abutn_c,metanetx.chemical:MNXM422
acac_c,metanetx.chemical:MNXM154
accoa_c,metanetx.chemical:MNXM21
aacoa_c,metanetx.chemical:MNXM133
ac_c,metanetx.chemical:MNXM26
coa_c,metanetx.chemical:MNXM12
acald_c,metanetx.chemical:MNXM75
adocbip_c,metanetx.chemical:MNXM856
gtp_c,metanetx.chemical:MNXM51
agdpcbi_c,metanetx.chemical:MNXM1105
co2tot_c,metanetx.chemical:MNXM60
adp_c,metanetx.chemical:MNXM7
malcoa_c,metanetx.chemical:MNXM40
ppa_c,metanetx.chemical:MNXM356
ppcoa_c,metanetx.chemical:MNXM86
uacgam_c,metanetx.chemical:MNXM47
udcpp_c,metanetx.chemical:MNXM251
ump_c,metanetx.chemical:MNXM80
unaga_c,metanetx.chemical:MNXM1333
acglu_c,metanetx.chemical:MNXM730
acg5p_c,metanetx.chemical:MNXM1384
2obut_c,metanetx.chemical:MNXM159
pyr_c,metanetx.chemical:MNXM23
