cond,met,mean,sd
WT-Ace_I,g6p,0.69801362155168,0.031288193107497
WT-Ace_I,f6p,0.378974904884046,0.0429209400629505
WT-Ace_I,fdp,0.148967089931025,0.0060110089739953
WT-Ace_I,dhap,0.519391294052962,0.0179231439046857
WT-Ace_I,13dpg,0.0110691898455658,0.0020990356118661
WT-Ace_I,pep,0.38708167984701,0.0109545470747889
WT-Ace_I,6pgc,0.147050449642969,0.014229740675294
WT-Ace_I,ru5p__D,0.0937156637803725,0.0090865432392161
WT-Ace_I,r5p,0.0558181155764863,0.009139932497461
WT-Ace_I,xu5p__D,0.0473211738679426,0.003364920148824
WT-Ace_I,s7p,0.0699031403510639,0.0067170144557156
WT-Ace_I,icit,2.0806228258935,0.0314862157217143
WT-Ace_I,akg,0.231950721208565,0.0467850040243513
WT-Ace_I,succ,0.691136110260447,0.0342577926050627
WT-Ace_I,fum,0.561992618666305,0.0416321353061871
WT-Ace_I,mal__L,2.91541724606061,0.420265678676435
WT-Ace_I,adp,0.612846404790059,0.0570193987954099
WT-Ace_I,atp,1.22229798333166,0.110566666659201
WT-Ace_I,gln__L,2.00429027160658,0.112905241376107
WT-Ace_I,glu__L,13.9235268778685,0.194958008295989
WT-Mann_I,g6p,0.693684101523003,0.0801668170588812
WT-Mann_I,f6p,0.837199093796745,0.120325249690762
WT-Mann_I,fdp,0.850888803811864,0.115263816186718
WT-Mann_I,dhap,0.832298860993306,0.021792602401343
WT-Mann_I,13dpg,0.0167607048825217,0.0041230902557249
WT-Mann_I,pep,0.18081057218115,0.0063976082015543
WT-Mann_I,6pgc,0.183807667547386,0.0385880751143362
WT-Mann_I,ru5p__D,0.154457030837844,0.0336931860911972
WT-Mann_I,r5p,0.0874675073191919,0.0055985917795011
WT-Mann_I,xu5p__D,0.0640977188869828,0.0056925412694843
WT-Mann_I,s7p,0.0976401137627377,0.006751767219788
WT-Mann_I,icit,0.335420206097328,0.01458399106248
WT-Mann_I,akg,0.233536972448711,0.0366472790157325
WT-Mann_I,succ,0.384518462148592,0.0154392575576209
WT-Mann_I,fum,0.141815784623694,0.0286822837637479
WT-Mann_I,mal__L,0.811247139680356,0.0352521221403542
WT-Mann_I,adp,0.625898257709562,0.100512480705249
WT-Mann_I,atp,1.27151618712992,0.191371932895958
WT-Mann_I,gln__L,1.81167472677259,0.0544651713000072
WT-Mann_I,glu__L,22.8149879914076,0.670232884370852
WT-Pyr_I,g6p,0.555322153507284,0.0362538143998654
WT-Pyr_I,f6p,0.289305718936172,0.0300501956543749
WT-Pyr_I,fdp,0.0327161294326945,0.0029217042753967
WT-Pyr_I,dhap,0.214899651056523,0.0245089983631266
WT-Pyr_I,13dpg,0.009479542898168,0.0008866887108401
WT-Pyr_I,pep,0.319549785421191,0.0082865736114621
